id,reg,dis,con,ward,ccm_leg10,split_leg10
271,KAGERA,MULEBA,MULEBA KASKAZINI,LZIGO,1,62.07
272,KAGERA,MULEBA,MULEBA KUSINI,KARAMBI,1,NA
273,KAGERA,MULEBA,MULEBA KASKAZINI,MUHUTWE,1,62.07
274,KAGERA,BIHARAMULO,NA,BUSERESERE,NA,NA
275,KAGERA,NGARA,NA,MUGANZA,NA,NA
276,KAGERA,NGARA,NGARA,BUGARAMA,1,31.52
277,KAGERA,NGARA,NGARA,KANAZI,1,31.52
278,KAGERA,BUKOBA URBAN,BUKOBA MJINI,MIEMBENI,1,14.19
279,KAGERA,BUKOBA URBAN,BUKOBA MJINI,KIBETA,1,14.19
280,MWANZA,UKEREWE,UKEREWE,MURITI,0,16.14
281,MWANZA,MAGU,MAGU MJINI,KISESA,1,1.59
282,MWANZA,MAGU,MAGU MJINI,MWAMANGA,1,1.59
283,MWANZA,KWIMBA,SUMVE,MALIGISU,1,5.46
284,MWANZA,MAGU,MAGU MJINI,NKUNGULU,1,1.59
285,MWANZA,MAGU,MAGU MJINI,MAGU MJINI,1,1.59
286,MWANZA,ILEMELA,ILEMELA,BUSWELU,0,7.15
287,MWANZA,KWIMBA,KWIMBA,MHANDE,1,39.28
288,MWANZA,SENGEREMA,BUCHOSA,BUPANDWAMHELA,1,5.71
289,MWANZA,GEITA,GEITA,SENGA,1,21.56
290,MWANZA,GEITA,GEITA,KALANGALALA,1,21.56
291,MWANZA,GEITA,BUSANDA,KASEME,1,13.12
292,MWANZA,MISUNGWI,MISUNGWI,IGOKELO,1,72.73
293,MWANZA,NYAMAGANA,ILEMELA,NYAMANORO,0,7.15
294,MWANZA,ILEMELA,ILEMELA,BUGOGWA,0,7.15
295,MARA,TARIME,TARIME,NYANDOTO,1,1
296,MARA,SERENGETI,SERENGETI,KENYAMONTA,1,16.27
297,MARA,MUSOMA RURAL,MUSOMA VIJIJINI,BWIREGI,1,NA
298,MARA,MUSOMA RURAL,MUSOMA VIJIJINI,MAKOJO,1,NA
299,MARA,BUNDA,BUNDA,BUNDA,1,36.74
300,MARA,BUNDA,BUNDA,KABASA,1,36.74
301,MARA,MUSOMA URBAN,MUSOMA MJINI,MAKOKO,0,21.46
302,MANYARA,BABATI,BABATI MJINI,SIGINO,1,31.61
303,MANYARA,BABATI,BABATI VIJIJINI,BASHNET,1,1.55
304,MANYARA,HANANG,HANANG,MOGITU,1,21.47
305,MANYARA,MBULU,MBULU,DONGOBESH,0,27.77
306,MANYARA,SIMANJIRO,SIMANJIRO,NABERERA,1,NA
307,MANYARA,SIMANJIRO,SIMANJIRO,SHAMBARAI,1,NA
308,MANYARA,SIMANJIRO,SIMANJIRO,MERERANI,1,NA
309,MANYARA,KITETO,KITETO,MATUI,1,28.17
