"y3_hhid","reg","dis","ward","id","con","ccm_leg10","split_leg10","ccm_prez10","split_prez10"
"2204-001","MBEYA","MBOZI","IHANDA",369,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2205-001","MBEYA","MBOZI","ISANDULA",374,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2206-001","MBEYA","MBOZI","IHANDA",369,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2207-001","MBEYA","MBOZI","IHANDA",369,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2208-001","MBEYA","MBOZI","IHANDA",369,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2209-001","MBEYA","MBOZI","IHANDA",369,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2209-003","MBEYA","MBOZI","IHANDA",369,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2210-001","MBEYA","MBOZI","IHANDA",369,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2210-002","MBEYA","MBOZI","IHANDA",369,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2210-004","MBEYA","MBOZI","IHANDA",369,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2211-001","MBEYA","MBOZI","IHANDA",369,"MBOZI MAGHARIBI",0,1.48999999999999,1,27
"2212-001","MBEYA","MBARALI","UBARUKU",353,"MBARALI",1,35.24,1,30.43
"2213-001","MBEYA","MBARALI","UBARUKU",353,"MBARALI",1,35.24,1,30.43
"2214-001","MBEYA","MBARALI","UBARUKU",353,"MBARALI",1,35.24,1,30.43
"2214-007","MBEYA","MBARALI","UBARUKU",353,"MBARALI",1,35.24,1,30.43
"2215-001","MBEYA","MBARALI","UBARUKU",353,"MBARALI",1,35.24,1,30.43
"2216-001","MBEYA","MBARALI","UBARUKU",353,"MBARALI",1,35.24,1,30.43
"2217-001","MBEYA","MBARALI","UBARUKU",353,"MBARALI",1,35.24,1,30.43
"2218-001","MBEYA","MBARALI","UBARUKU",353,"MBARALI",1,35.24,1,30.43
"2219-001","MBEYA","MBEYA URBAN","IGAWILO",359,"MBEYA MJINI",0,29.88,0,13.66
"2220-001","MBEYA","MBEYA URBAN","IGAWILO",359,"MBEYA MJINI",0,29.88,0,13.66
"2221-001","MBEYA","MBEYA URBAN","IGAWILO",359,"MBEYA MJINI",0,29.88,0,13.66
"2222-001","MBEYA","MBEYA URBAN","IGAWILO",359,"MBEYA MJINI",0,29.88,0,13.66
"2222-005","MBEYA","MBEYA URBAN","IGAWILO",359,"MBEYA MJINI",0,29.88,0,13.66
"2223-001","MBEYA","MBEYA URBAN","IGAWILO",359,"MBEYA MJINI",0,29.88,0,13.66
"2224-001","MBEYA","MBEYA URBAN","IGAWILO",359,"MBEYA MJINI",0,29.88,0,13.66
"2226-001","MBEYA","MBEYA URBAN","IGAWILO",359,"MBEYA MJINI",0,29.88,0,13.66
"2227-001","MBEYA","MBEYA URBAN","IGAWILO",359,"MBEYA MJINI",0,29.88,0,13.66
"2228-001","MBEYA","MBEYA URBAN","IGAWILO",359,"MBEYA MJINI",0,29.88,0,13.66
"2229-001","MBEYA","MBEYA URBAN","ISYESYE",360,"MBEYA MJINI",0,29.88,0,13.66
"2229-103","MBEYA","RUNGWE","KIWIRA",377,"RUNGWE MAGHARIBI",1,100,1,23.04
"2230-001","MBEYA","MBEYA URBAN","ISYESYE",360,"MBEYA MJINI",0,29.88,0,13.66
"2230-004","MBEYA","MBEYA URBAN","MWAKIBETE",365,"MBEYA MJINI",0,29.88,0,13.66
"2231-001","MBEYA","MBEYA URBAN","ISYESYE",360,"MBEYA MJINI",0,29.88,0,13.66
"2232-001","MBEYA","MBEYA URBAN","ISYESYE",360,"MBEYA MJINI",0,29.88,0,13.66
"2233-001","MBEYA","MBEYA URBAN","ISYESYE",360,"MBEYA MJINI",0,29.88,0,13.66
"2234-001","MBEYA","MBEYA URBAN","ISYESYE",360,"MBEYA MJINI",0,29.88,0,13.66
"2235-002","MBEYA","MBEYA URBAN","ISYESYE",360,"MBEYA MJINI",0,29.88,0,13.66
"2236-001","MBEYA","MBEYA URBAN","ISYESYE",360,"MBEYA MJINI",0,29.88,0,13.66
"2237-001","SINGIDA","IRAMBA","KISIRIRI",691,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2238-001","SINGIDA","IRAMBA","KISIRIRI",691,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2239-001","SINGIDA","IRAMBA","KISIRIRI",691,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2240-001","SINGIDA","IRAMBA","KISIRIRI",691,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2240-007","SINGIDA","IRAMBA","KISIRIRI",691,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2241-001","SINGIDA","IRAMBA","KISIRIRI",691,"IRAMBA MAGHARIBI",1,80.24,1,66.47
"2242-001","MWANZA","GEITA","KAMENA",482,"BUSANDA",1,13.12,1,18.6
