"","y2_hhid","reg","dis","ward","id","con","ccm_prez05","split_prez05"
"116","0201011001030001","ARUSHA","MONDULI","ENGARUKA",27,"MONDULI",1,89.6
"117","0201011001030401","ARUSHA","MONDULI","ENGARUKA",27,"MONDULI",1,89.6
"118","0201011001030402","ARUSHA","MONDULI","ENGARUKA",27,"MONDULI",1,89.6
"119","0201011001030409","ARUSHA","MONDULI","ENGARUKA",27,"MONDULI",1,89.6
"120","0201011001030501","ARUSHA","MONDULI","ENGARUKA",27,"MONDULI",1,89.6
"121","0202011303000601","ARUSHA","ARUMERU","MAJIYA CHAI",1,"ARUMERU MASHARIKI",1,77.8
"122","0202011303000602","ARUSHA","ARUMERU","MAJIYA CHAI",1,"ARUMERU MASHARIKI",1,77.8
"123","0202011303005501","ARUSHA","ARUMERU","MAJIYA CHAI",1,"ARUMERU MASHARIKI",1,77.8
"124","0202011303008601","ARUSHA","ARUMERU","MAJIYA CHAI",1,"ARUMERU MASHARIKI",1,77.8
"125","0202011303009001","ARUSHA","ARUMERU","MAJIYA CHAI",1,"ARUMERU MASHARIKI",1,77.8
"126","0202011303011601","ARUSHA","ARUMERU","MAJIYA CHAI",1,"ARUMERU MASHARIKI",1,77.8
"127","0202011303015501","ARUSHA","ARUMERU","MAJIYA CHAI",1,"ARUMERU MASHARIKI",1,77.8
"128","0202011303015801","ARUSHA","ARUMERU","MAJIYA CHAI",1,"ARUMERU MASHARIKI",1,77.8
"129","0202011303019301","ARUSHA","ARUMERU","MAJIYA CHAI",1,"ARUMERU MASHARIKI",1,77.8
"130","0202011303019305","ARUSHA","ARUMERU","MAJIYA CHAI",1,"ARUMERU MASHARIKI",1,77.8
"131","0202012001005901","ARUSHA","ARUMERU","KIKWE",2,"ARUMERU MASHARIKI",1,77.8
"132","0202012001018501","ARUSHA","ARUMERU","KIKWE",2,"ARUMERU MASHARIKI",1,77.8
"133","0202012001021401","ARUSHA","ARUMERU","KIKWE",2,"ARUMERU MASHARIKI",1,77.8
"134","0202012001021601","ARUSHA","ARUMERU","KIKWE",2,"ARUMERU MASHARIKI",1,77.8
"135","0202012001021701","ARUSHA","ARUMERU","KIKWE",2,"ARUMERU MASHARIKI",1,77.8
