id,reg,dis,con,ward
184,IRINGA,IRINGA URBAN,IRINGA MJINI,MWANGATA
185,IRINGA,KILOLO,KILOLO,MAHENGE
186,MBEYA,CHUNYA,LUPA,MATWIGA
187,MBEYA,CHUNYA,LUPA,MAKONGOROSI
188,MBEYA,CHUNYA,LUPA,IFUMBO
189,MBEYA,CHUNYA,SONGWE,MBANGALA
190,MBEYA,MBEYA RURAL,MBEYA VIJIJINI,ILEMBO
191,MBEYA,MBEYA RURAL,MBEYA VIJIJINI,ISUTO
192,MBEYA,KYELA,KYELA,MATEMA
193,MBEYA,KYELA,KYELA,BUJONDE
194,MBEYA,RUNGWE,RUNGWE MASHARIKI,LSANGE
195,MBEYA,RUNGWE,RUNGWE MAGHARIBI,LUFINGO
196,MBEYA,RUNGWE,RUNGWE MAGHARIBI,KIWIRA
197,MBEYA,ILEJE,ILEJE,ISONGOLE
198,MBEYA,ILEJE,ILEJE,CHITETE
199,MBEYA,MBOZI,MBOZI MAGHARIBI,LSANSA
200,MBEYA,MBOZI,MBOZI MASHARIKI,RUANDA
201,MBEYA,MBOZI,MBOZI MAGHARIBI,IHANDA
202,MBEYA,MBARALI,MBARALI,UBARUKU
203,MBEYA,MBEYA URBAN,MBEYA MJINI,IGAWILO
204,MBEYA,MBEYA URBAN,MBEYA MJINI,ISYESYE
205,SINGIDA,IRAMBA,IRAMBA MAGHARIBI,KISIRIRI
206,SINGIDA,IRAMBA,IRAMBA MAGHARIBI,MTOA
207,SINGIDA,SINGIDA RURAL,SINGIDA MASHARIKI,ISSUNA
208,SINGIDA,MANYONI,MANYONI MASHARIKI,MAKURU
209,SINGIDA,MANYONI,MANYONI MAGHARIBI,MGANDU
210,SINGIDA,SINGIDA URBAN,SINGIDA MJINI,IPEMBE
211,SINGIDA,SINGIDA RURAL,SINGIDA MAGHARIBI,PUMA
212,TABORA,NZEGA,NZEGA,NZAGA MJINI
213,TABORA,NZEGA,NZEGA,MUHUGI
214,TABORA,IGUNGA,IGUNGA,ISAKAMALIWA
215,TABORA,IGUNGA,IGUNGA,MWAMASHIGA
216,TABORA,IGUNGA,IGUNGA,KINING'INILA
217,TABORA,IGUNGA,IGUNGA,CHABUTWA
218,TABORA,UYUI,IGALULA,LUTENDE
219,TABORA,UYUI,TABORA KASKAZINI,SHITAGE
220,TABORA,URAMBO,NZEGA,MILAMBO
221,TABORA,SIKONGE,SIKONGE,SIKONGE
222,TABORA,SIKONGE,SIKONGE,KIPILI
223,TABORA,SIKONGE,SIKONGE,LGIGWA
224,TABORA,TABORA URBAN,TABORA MJINI,NG'AMBO
225,TABORA,TABORA URBAN,TABORA MJINI,NDEVELWA
226,RUKWA,MPANDA,NA,KATUMBA
227,RUKWA,MPANDA,NA,MISHAMO
228,RUKWA,MPANDA,NA,KASHAULILI
229,RUKWA,SUMBAWANGA RURAL,KWELA,LAELA
230,RUKWA,SUMBAWANGA RURAL,KWELA,MUZE
231,RUKWA,SUMBAWANGA RURAL,KWELA,MTOWISA
232,RUKWA,NKASI,NKASI KASKAZINI,NAMANYERE
233,RUKWA,NKASI,NKASI KASKAZINI,ISALE
234,RUKWA,NKASI,NKASI KASKAZINI,KIRANDO
235,RUKWA,SUMBAWANGA URBAN,SUMBAWANGA MJINI,SENGA
236,KIGOMA,KIBONDO,MUHAMBWE,KIBONDO MJINI
237,KIGOMA,KIBONDO,MUHAMBWE,KITAHANA
238,KIGOMA,KIBONDO,MUHAMBWE,BUSAGARA
239,KIGOMA,KIBONDO,MUHAMBWE,KUMSENGA
240,KIGOMA,KASULU,KASULU VIJIJINI,ERU USHINGO
241,KIGOMA,KASULU,KASULU VIJIJINI,NYAMIDAHO
242,KIGOMA,KASULU,KASULU VIJIJINI,KITAGATA
243,KIGOMA,KASULU,KASULU VIJIJINI,MUZENZE
244,KIGOMA,KASULU,NA,KAJANA
245,KIGOMA,KASULU,KASULU MJINI,MURUFITI
246,KIGOMA,KIGOMA RURAL,KIGOMA KASKAZINI,BITALE
247,KIGOMA,KIGOMA RURAL,KIGOMA KUSINI,NGURUKA
248,KIGOMA,LAKE TANGANYIKA,NA,N.A. ( 1030)
249,SHINYANGA,BARIADI,BARIADI MASHARIKI,LAGANGABILILI
250,SHINYANGA,MASWA,MASWA MAGHARIBI,BUCHAMBI
251,SHINYANGA,MASWA,MASWA MAGHARIBI,BADI
252,SHINYANGA,SHINYANGA RURAL,SOLWA,USULE
253,SHINYANGA,SHINYANGA RURAL,SOLWA,SALAWE
254,SHINYANGA,KAHAMA,MSALALA,BUGARAMA
255,SHINYANGA,KAHAMA,MSALALA,LUNGUYA
256,SHINYANGA,KAHAMA,KAHAMA,BULUNGWA
257,SHINYANGA,KAHAMA,KAHAMA,IGWAMANONI
258,SHINYANGA,BUKOMBE,BUKOMBE,USHIROMBO
259,SHINYANGA,MEATU,MEATU,MWAMISHALI
260,SHINYANGA,MEATU,KISESA,MWABUSALU
261,SHINYANGA,SHINYANGA URBAN,SHINYANGA MJINI,KAMBARAGE
262,SHINYANGA,SHINYANGA URBAN,SHINYANGA MJINI,CHIBE
263,SHINYANGA,KISHAPU,KISHAPU,KISHAPU
264,SHINYANGA,KISHAPU,KISHAPU,SHAGIHILU
265,SHINYANGA,KISHAPU,KISHAPU,KILOLELI
266,KAGERA,KARAGWE,KARAGWE,KITUNTU
267,KAGERA,KARAGWE,KARAGWE,NYAKAKIKA
268,KAGERA,KARAGWE,KYERWA,MURONGO
269,KAGERA,BUKOBA RURAL,NKENGE,KASAMBYA
270,KAGERA,BUKOBA RURAL,NKENGE,KITOBO
271,KAGERA,BUKOBA RURAL,NKENGE,BUGANDIKA
272,KAGERA,MULEBA,MULEBA KASKAZINI,LZIGO
273,KAGERA,MULEBA,MULEBA KUSINI,KARAMBI
274,KAGERA,MULEBA,MULEBA KASKAZINI,MUHUTWE
275,KAGERA,BIHARAMULO,NA,BUSERESERE
276,KAGERA,NGARA,NA,MUGANZA
277,KAGERA,NGARA,NGARA,BUGARAMA
278,KAGERA,NGARA,NGARA,KANAZI
279,KAGERA,BUKOBA URBAN,BUKOBA MJINI,MIEMBENI
280,KAGERA,BUKOBA URBAN,BUKOBA MJINI,KIBETA
281,MWANZA,UKEREWE,UKEREWE,MURITI
282,MWANZA,MAGU,MAGU MJINI,KISESA
283,MWANZA,MAGU,MAGU MJINI,MWAMANGA
284,MWANZA,KWIMBA,SUMVE,MALIGISU
285,MWANZA,MAGU,MAGU MJINI,NKUNGULU
286,MWANZA,MAGU,MAGU MJINI,MAGU MJINI
287,MWANZA,ILEMELA,ILEMELA,BUSWELU
288,MWANZA,KWIMBA,KWIMBA,MHANDE
289,MWANZA,SENGEREMA,BUCHOSA,BUPANDWAMHELA
290,MWANZA,GEITA,GEITA,SENGA
291,MWANZA,GEITA,GEITA,KALANGALALA
292,MWANZA,GEITA,BUSANDA,KASEME
293,MWANZA,MISUNGWI,MISUNGWI,IGOKELO
294,MWANZA,NYAMAGANA,ILEMELA,NYAMANORO
295,MWANZA,ILEMELA,ILEMELA,BUGOGWA
296,MARA,TARIME,TARIME,NYANDOTO
297,MARA,SERENGETI,SERENGETI,KENYAMONTA
298,MARA,MUSOMA RURAL,MUSOMA VIJIJINI,BWIREGI
299,MARA,MUSOMA RURAL,MUSOMA VIJIJINI,MAKOJO
300,MARA,BUNDA,BUNDA,BUNDA
301,MARA,BUNDA,BUNDA,KABASA
302,MARA,MUSOMA URBAN,MUSOMA MJINI,MAKOKO
